,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
289,Kelly Oubre Jr.,CHA,46,15,31,32.7,20.3,45.2,32.2,1.7,2.25,1.38,0.45,1.0,0.0,2.2,0.804,0.0,0.869
290,Kemba Walker,DAL,9,5,4,16.0,8.0,28.7,12.2,2.6,5.47,5.37,0.279,0.0,0.0,0.0,0.0,0.0,0.0
291,Kendall Brown,IND,6,1,5,6.7,1.5,6.7,4.5,0.2,1.61,1.45,0.225,0.0,0.0,0.3,0.0,0.0,1.0
292,Kendrick Nunn,WAS,59,28,31,13.7,6.6,19.0,10.6,1.2,3.82,3.34,0.346,0.2,0.0,0.4,0.615,0.0,1.04
293,Kennedy Chandler,MEM,30,19,11,8.1,2.2,17.1,6.1,1.5,5.38,4.73,0.129,0.1,0.0,0.5,1.0,0.0,0.786
294,Kenneth Lofton Jr.,MEM,15,10,5,4.6,3.0,7.7,5.8,0.3,2.26,1.17,0.391,0.7,0.4,0.9,0.4,0.0,1.385
295,Kenrich Williams,OKC,53,26,27,22.8,8.0,31.2,19.2,1.0,1.87,1.22,0.257,1.1,0.3,3.5,0.644,0.267,0.811
296,Kentavious Caldwell-Pope,DEN,67,46,21,31.6,11.2,38.8,25.8,1.3,1.95,1.04,0.289,0.8,0.0,1.1,0.868,0.0,0.75
297,Kenyon Martin Jr.,HOU,70,18,52,27.3,12.4,35.8,22.0,0.9,1.52,0.81,0.346,1.6,0.0,4.0,0.743,0.0,1.075
298,Keon Ellis,SAC,10,5,5,3.7,1.9,5.1,3.5,0.2,2.1,1.16,0.373,0.0,0.0,0.0,0.0,0.0,0.0
299,Keon Johnson,POR,37,13,24,9.1,3.9,17.5,7.7,1.5,5.04,4.37,0.22,0.2,0.0,0.4,0.0,0.0,0.333
300,Kessler Edwards,SAC,23,11,12,8.4,1.9,9.3,5.2,0.3,1.65,0.71,0.205,0.0,0.0,0.7,0.0,0.0,0.6
301,Kevin Durant,PHX,42,29,13,35.7,29.5,67.2,38.7,4.2,3.72,2.64,0.439,2.6,3.0,1.2,0.882,0.595,1.192
302,Kevin Huerter,SAC,66,39,27,29.6,15.0,43.6,30.1,1.6,2.21,1.45,0.344,0.7,0.0,1.6,0.75,0.0,1.047
303,Kevin Knox II,POR,52,10,42,12.5,5.0,16.2,7.8,0.4,1.5,0.63,0.308,0.1,0.0,0.7,0.833,0.0,0.889
304,Kevin Love,MIA,52,29,23,20.3,8.3,37.8,19.9,1.2,1.83,0.47,0.22,0.5,1.5,1.8,0.24,0.367,0.663
305,Kevin Porter Jr.,HOU,48,15,33,33.9,18.6,79.1,34.8,6.8,5.19,4.76,0.235,0.8,0.1,1.8,0.333,0.333,0.724
306,Kevon Harris,ORL,28,10,18,12.2,3.5,10.6,6.6,0.5,2.77,2.2,0.327,0.2,0.0,1.0,0.8,0.0,1.0
307,Kevon Looney,GSW,70,35,35,23.6,7.0,41.9,25.1,1.0,1.5,0.42,0.168,2.5,0.4,6.0,0.418,0.276,0.773
308,Khem Birch,SAS,20,9,11,8.1,2.2,10.4,6.1,0.2,1.38,0.56,0.208,0.8,0.3,1.6,0.875,0.4,0.742
309,Khris Middleton,MIL,26,20,6,23.7,14.6,47.5,24.9,3.1,3.91,3.14,0.307,0.8,1.6,1.3,0.571,0.619,0.788
310,Killian Hayes,DET,64,15,49,27.1,9.7,60.3,20.2,5.3,5.28,5.02,0.161,0.3,0.0,0.5,0.667,0.0,0.367
311,Kira Lewis Jr.,NOP,21,8,13,10.4,5.0,22.9,10.4,1.4,3.58,3.05,0.217,0.1,0.0,0.2,1.0,0.0,1.25
312,Klay Thompson,GSW,58,30,28,33.1,22.1,48.2,37.4,1.7,2.16,1.38,0.459,1.1,0.3,1.6,0.758,0.8,0.894
313,Kris Dunn,UTA,9,4,5,22.2,11.6,57.0,15.2,4.5,4.7,4.05,0.203,0.1,0.1,0.3,0.0,0.0,1.333
314,Kristaps Porzingis,WAS,60,25,35,32.7,22.8,60.2,39.7,1.8,1.79,0.67,0.379,3.8,3.9,4.9,0.75,0.879,1.065
315,Kyle Anderson,MIN,58,29,29,27.6,9.1,50.6,29.0,2.3,2.69,1.61,0.181,1.6,0.1,2.2,0.289,0.5,0.595
316,Kyle Kuzma,WAS,63,29,34,35.0,21.0,59.3,33.6,3.3,3.33,2.4,0.354,1.0,0.6,1.8,0.548,0.575,1.062
317,Kyle Lowry,MIA,47,24,23,32.8,11.9,73.1,33.9,4.3,3.52,2.57,0.162,0.3,0.1,1.0,0.133,0.0,0.378
318,Kyrie Irving,DAL,52,30,22,37.2,27.4,76.4,32.9,5.8,4.53,3.81,0.359,1.1,0.3,1.6,0.828,0.5,0.869
319,LaMelo Ball,CHA,36,13,23,35.2,23.3,90.2,29.9,7.4,4.9,4.79,0.258,0.4,0.0,1.4,0.2,0.0,0.725
320,Lamar Stevens,CLE,53,33,20,18.2,5.6,21.0,11.0,0.7,2.01,0.9,0.266,0.4,0.1,1.4,0.545,1.5,0.712
321,Landry Shamet,PHX,30,14,16,21.4,9.5,38.3,19.7,2.1,3.27,2.89,0.249,0.4,0.0,0.4,0.727,0.0,1.091
322,Larry Nance Jr.,NOP,53,25,28,21.8,7.5,30.9,19.5,0.9,1.8,0.73,0.242,3.0,0.5,4.7,0.475,0.345,0.927
