,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
326,Luka Garza,MIN,23,13,10,9.1,15.9,0.7,0.0,0.3,14.3,0.0,0.0,0.0,0.1,11.8,0.4,52.9,0.1,22.2,0.0,5.9,0.0,0.0
327,Luke Kennard,MEM,40,24,16,20.9,25.4,0.3,0.1,0.2,66.7,0.0,0.0,0.0,0.2,66.7,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0
328,Luke Kornet,BOS,53,35,18,11.6,12.3,0.5,0.1,0.2,66.7,0.1,0.2,62.5,0.3,58.6,0.3,55.2,0.0,12.5,0.0,0.0,0.1,10.3
329,Malachi Flynn,TOR,43,21,22,13.7,27.8,0.1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,40.0,0.1,80.0,0.0,25.0,0.0,0.0,0.0,0.0
330,Malaki Branham,SAS,48,10,38,22.5,34.8,0.3,0.1,0.2,55.6,0.1,0.1,100.0,0.3,100.0,0.1,21.4,0.0,33.3,0.0,0.0,0.0,14.3
331,Malcolm Brogdon,BOS,54,38,16,25.4,52.6,0.4,0.2,0.2,90.0,0.0,0.0,0.0,0.4,79.2,0.2,54.2,0.0,15.4,0.0,0.0,0.0,0.0
332,Malcolm Hill,CHI,4,3,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,Malik Beasley,LAL,62,32,30,26.6,36.1,0.2,0.1,0.2,63.6,0.0,0.0,0.0,0.2,107.7,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0
334,Malik Monk,SAC,58,35,23,22.7,40.8,0.3,0.1,0.2,41.7,0.0,0.0,0.0,0.2,55.6,0.1,33.3,0.0,33.3,0.0,0.0,0.0,0.0
335,Mamadi Diakite,CLE,16,12,4,6.2,8.3,0.5,0.1,0.2,33.3,0.0,0.0,0.0,0.1,25.0,0.3,50.0,0.1,25.0,0.1,12.5,0.0,0.0
336,MarJon Beauchamp,MIL,41,28,13,14.0,14.9,0.2,0.0,0.1,66.7,0.0,0.0,0.0,0.1,44.4,0.1,55.6,0.0,20.0,0.0,11.1,0.0,0.0
337,Marcus Morris Sr.,LAC,56,29,27,28.5,39.0,1.1,0.4,0.6,55.6,0.1,0.1,100.0,0.8,75.8,0.3,27.4,0.0,11.8,0.1,6.5,0.1,4.8
338,Marcus Smart,BOS,46,34,12,32.4,61.8,0.5,0.1,0.1,100.0,0.0,0.0,0.0,0.2,38.1,0.3,57.1,0.1,25.0,0.0,9.5,0.0,0.0
339,Mark Williams,CHA,33,13,20,17.1,18.9,1.7,0.5,0.8,60.7,0.1,0.2,50.0,1.2,67.9,0.5,26.8,0.1,13.3,0.2,8.9,0.1,5.4
340,Markelle Fultz,ORL,42,21,21,29.3,66.6,0.5,0.1,0.2,57.1,0.0,0.0,0.0,0.2,42.1,0.2,47.4,0.1,33.3,0.0,10.5,0.0,0.0
341,Markieff Morris,DAL,29,16,13,10.3,14.4,0.3,0.0,0.1,0.0,0.1,0.1,100.0,0.1,25.0,0.2,62.5,0.0,20.0,0.0,0.0,0.0,12.5
342,Marko Simonovic,CHI,2,0,2,1.8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
