,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
253,Jordan Clarkson,UTA,61,30,31,32.6,15.6,3.7,7.0,52.5,1.3,1.5,81.9,8.8,56.6,5.9,37.8,1.8,11.5,1.4,8.9,0.8,4.9
254,Jordan Goodwin,WAS,48,18,30,17.4,4.1,1.0,1.9,51.7,0.2,0.3,50.0,2.2,53.6,1.7,40.8,0.4,10.2,0.2,5.6,0.2,4.1
255,Jordan Hall,SAS,9,1,8,9.2,1.6,0.1,0.2,50.0,0.3,0.4,75.0,0.6,35.7,0.9,57.1,0.3,21.4,0.2,14.3,0.2,14.3
256,Jordan McLaughlin,MIN,31,16,15,15.3,3.2,0.6,1.0,56.3,0.2,0.2,100.0,1.4,42.0,1.9,58.0,0.5,15.0,0.1,4.0,0.1,3.0
257,Jordan Nwora,IND,48,32,16,16.6,2.9,0.6,1.4,40.6,0.5,0.5,84.6,1.7,59.3,0.9,30.0,0.2,7.9,0.2,7.9,0.3,9.3
258,Jordan Poole,GSW,67,34,33,30.7,8.6,2.0,3.9,50.4,1.2,1.4,85.4,5.5,63.9,2.8,32.8,0.7,8.7,0.8,9.1,0.7,8.4
259,Jordan Schakel,WAS,2,0,2,3.1,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0
260,Jose Alvarado,NOP,61,30,31,21.5,6.8,1.4,3.0,46.2,0.6,0.8,76.1,3.4,50.4,2.9,42.2,0.7,10.6,0.4,6.0,0.4,5.5
261,Josh Christopher,HOU,49,9,40,11.5,3.8,1.0,2.2,44.5,0.2,0.3,69.2,2.2,58.3,1.0,26.7,0.2,6.4,0.3,8.6,0.1,3.7
262,Josh Giddey,OKC,63,28,35,30.8,12.2,2.9,6.1,47.5,0.4,0.6,77.8,6.4,52.8,4.8,39.4,1.2,9.8,0.7,5.5,0.3,2.3
