,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
417,Paul George,LAC,56,34.6,4.8,1.7,4.3,38.8,1.4,3.8,38.4,55.6
418,Paul Reed,PHI,65,10.5,0.2,0.1,0.3,27.8,0.0,0.1,0.0,27.8
419,Payton Pritchard,BOS,46,12.5,2.2,0.7,2.0,36.6,0.7,2.0,36.3,54.3
420,Peyton Watson,DEN,19,5.2,0.8,0.3,0.4,62.5,0.3,0.4,62.5,93.8
421,Precious Achiuwa,TOR,51,20.7,1.4,0.5,1.9,25.5,0.4,1.6,25.0,36.2
422,Quentin Grimes,NYK,68,29.6,5.8,2.0,4.8,40.4,1.9,4.8,40.3,60.3
423,Quenton Jackson,WAS,5,5.9,0.6,0.2,0.8,25.0,0.2,0.8,25.0,37.5
424,R.J. Hampton,DET,43,15.5,2.2,0.7,1.9,37.3,0.7,1.9,38.3,56.0
425,RJ Barrett,NYK,71,33.8,4.7,1.6,4.8,33.6,1.5,4.6,33.4,49.7
426,Raul Neto,CLE,46,10.0,0.7,0.2,0.7,32.3,0.2,0.7,32.3,48.4
427,Reggie Bullock,DAL,76,30.4,5.7,1.9,4.9,38.6,1.9,4.9,39.0,57.8
428,Reggie Jackson,DEN,64,24.5,3.4,1.1,2.9,38.8,1.1,2.9,38.0,57.4
429,Richaun Holmes,SAC,39,8.3,0.7,0.3,0.4,64.7,0.1,0.2,66.7,76.5
430,Ricky Rubio,CLE,30,16.9,1.5,0.5,1.7,28.8,0.5,1.7,29.4,43.3
431,Robert Covington,LAC,46,16.3,3.2,1.1,2.7,39.5,1.1,2.7,39.5,59.3
432,Robert Williams III,BOS,33,23.2,0.2,0.1,0.2,50.0,0.0,0.0,0.0,50.0
433,Robin Lopez,CLE,35,7.5,0.2,0.1,0.1,75.0,0.1,0.1,66.7,100
434,Rodney McGruder,DET,32,16.4,3.1,1.0,2.6,39.3,1.0,2.6,39.8,58.9
435,Romeo Langford,SAS,40,19.8,1.3,0.4,1.4,31.5,0.4,1.3,30.2,46.3
436,Ron Harper Jr.,TOR,6,3.0,1.0,0.3,0.7,50.0,0.3,0.7,50.0,75.0
437,Royce O'Neale,BKN,73,31.6,5.5,1.8,4.6,39.8,1.8,4.6,39.9,59.6
438,Rudy Gay,UTA,56,14.6,1.6,0.6,2.1,27.6,0.5,1.9,24.8,39.2
439,Rudy Gobert,MIN,67,30.9,0.1,0.1,0.2,38.5,0.0,0.0,0.0,38.5
440,Rui Hachimura,LAL,59,23.3,2.8,1.0,2.8,35.4,0.8,2.4,33.3,50.0
