,PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
428,Royce O'Neale,BKN,64,36,28,32.5,12574.8,2.38,1.3,1.08,4.12,4.59,3.67
429,Rudy Gay,UTA,53,27,26,14.6,5678.6,1.08,0.58,0.5,4.1,4.37,3.83
430,Rudy Gobert,MIN,57,27,30,30.5,11953.7,2.26,1.19,1.08,4.17,4.45,3.89
431,Rui Hachimura,LAL,50,28,22,24.3,9672.5,1.83,0.99,0.84,4.21,4.51,3.91
432,Russell Westbrook,LAC,60,28,32,28.8,10604.5,2.01,1.1,0.91,3.91,4.36,3.47
433,Ryan Arcidiacono,POR,15,8,7,5.8,2446.2,0.46,0.26,0.2,4.47,4.84,4.05
434,Ryan Rollins,GSW,12,5,7,5.2,2199.4,0.42,0.22,0.19,4.47,4.7,4.23
435,Saben Lee,PHX,22,14,8,13.7,5692.2,1.08,0.57,0.5,4.33,4.56,4.1
436,Saddiq Bey,ATL,63,17,46,28.4,10928.1,2.07,1.08,0.99,4.08,4.27,3.9
437,Sam Hauser,BOS,67,45,22,15.8,6809.1,1.29,0.72,0.57,4.55,5.0,4.08
438,Sam Merrill,CLE,1,1,0,4.3,1761.0,0.33,0.18,0.15,3.85,4.93,2.67
439,Sandro Mamukelashvili,SAS,28,18,10,10.0,4172.7,0.79,0.44,0.35,4.4,4.76,4.05
440,Santi Aldama,MEM,64,38,26,22.1,9155.8,1.73,0.91,0.82,4.4,4.65,4.15
441,Scottie Barnes,TOR,65,30,35,35.3,14169.1,2.68,1.44,1.24,4.25,4.58,3.92
442,Scotty Pippen Jr.,LAL,6,1,5,5.3,2216.3,0.42,0.22,0.2,4.32,4.71,3.96
443,Serge Ibaka,MIL,16,11,5,11.6,4277.7,0.81,0.45,0.36,3.9,4.03,3.69
444,Seth Curry,BKN,50,32,18,21.4,8019.3,1.52,0.82,0.7,3.96,4.25,3.67
445,Shaedon Sharpe,POR,67,30,37,20.5,8111.6,1.54,0.81,0.73,4.18,4.32,4.05
446,Shai Gilgeous-Alexander,OKC,57,28,29,35.6,13432.9,2.54,1.38,1.17,4.0,4.52,3.51
447,Shake Milton,PHI,63,45,18,20.2,7882.0,1.49,0.8,0.69,4.12,4.42,3.82
448,Simone Fontecchio,UTA,40,21,19,12.1,5088.8,0.96,0.54,0.43,4.43,4.9,3.95
449,Spencer Dinwiddie,BKN,66,35,31,34.3,12340.6,2.34,1.31,1.02,3.84,4.2,3.46
450,Stanley Johnson,SAS,29,5,24,15.8,6563.2,1.24,0.67,0.58,4.35,4.81,3.94
451,Stanley Umude,DET,1,0,1,2.1,932.0,0.18,0.08,0.09,4.66,6.81,3.54
452,Stephen Curry,GSW,42,21,21,35.0,13824.7,2.62,1.47,1.15,4.2,4.88,3.57
453,Sterling Brown,LAL,4,2,2,6.1,2630.8,0.5,0.26,0.24,4.45,4.38,4.54
454,Steven Adams,MEM,42,28,14,27.0,10210.8,1.93,1.01,0.92,4.02,4.19,3.85
455,Svi Mykhailiuk,CHA,20,11,9,6.7,2752.0,0.52,0.27,0.25,4.33,4.61,4.06
456,T.J. McConnell,IND,64,28,36,19.8,8667.4,1.64,0.87,0.77,4.62,5.02,4.23
457,T.J. Warren,PHX,33,20,13,16.2,6478.2,1.23,0.64,0.59,4.22,4.32,4.11
458,Taj Gibson,WAS,42,19,23,9.7,3708.4,0.7,0.38,0.33,4.02,4.15,3.89
459,Talen Horton-Tucker,UTA,55,27,28,18.5,7127.0,1.35,0.75,0.6,4.05,4.44,3.66
460,Tari Eason,HOU,68,16,52,20.6,8223.1,1.56,0.84,0.72,4.21,4.42,3.98
461,Taurean Prince,MIN,43,25,18,21.4,8335.0,1.58,0.83,0.75,4.1,4.4,3.81
462,Terance Mann,LAC,68,36,32,23.4,9409.8,1.78,0.94,0.84,4.26,4.42,4.1
463,Terence Davis,SAC,52,31,21,13.3,5526.6,1.05,0.54,0.5,4.41,4.79,4.06
464,Terrence Ross,PHX,49,19,30,22.1,8655.5,1.64,0.89,0.75,4.15,4.46,3.84
465,Terry Rozier,CHA,59,18,41,35.7,14503.0,2.75,1.52,1.23,4.33,4.79,3.88
466,Terry Taylor,CHI,28,10,18,8.3,3471.7,0.66,0.35,0.3,4.37,4.8,3.95
467,Thaddeus Young,TOR,54,23,31,14.7,5784.1,1.1,0.59,0.51,4.15,4.34,3.94
468,Thanasis Antetokounmpo,MIL,28,20,8,4.0,1626.1,0.31,0.17,0.14,4.22,4.3,4.14
469,Theo Maledon,CHA,36,10,26,16.1,6760.9,1.28,0.7,0.58,4.4,4.83,3.97
470,Theo Pinson,DAL,36,17,19,6.8,2732.4,0.52,0.28,0.24,4.17,4.41,3.92
471,Thomas Bryant,DEN,52,29,23,19.4,7436.0,1.41,0.75,0.66,4.1,4.41,3.81
472,Tim Hardaway Jr.,DAL,63,34,29,30.3,11224.7,2.13,1.16,0.96,3.94,4.18,3.68
473,Tobias Harris,PHI,62,41,21,33.1,12382.3,2.35,1.25,1.1,3.99,4.15,3.82
