,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
215,Jamal Murray,DEN,64,32.9,43,21,1.0,0.2,3.2,2.0,2.7,75.0
216,Jamaree Bouyea,WAS,5,14.1,2,3,0.8,0.4,1.0,1.0,1.2,83.3
217,James Bouknight,CHA,32,14.5,8,24,0.4,0.2,1.9,0.9,1.5,57.1
218,James Harden,PHI,57,37.0,39,18,1.2,0.5,5.4,1.8,2.4,76.6
219,James Johnson,IND,16,8.6,6,10,0.3,0.4,1.3,0.6,0.8,76.9
220,James Wiseman,DET,43,19.4,10,33,0.2,0.6,4.3,3.0,4.3,69.7
221,Jared Butler,OKC,4,7.3,1,3,1.0,0.0,0.3,0.5,0.8,66.7
222,Jared Rhoden,DET,12,10.7,1,11,0.2,0.0,1.3,0.6,0.8,77.8
223,Jaren Jackson Jr.,MEM,62,28.4,40,22,1.0,3.0,5.1,3.4,7.3,46.8
224,Jarred Vanderbilt,LAL,76,24.3,41,35,1.1,0.3,5.3,2.6,3.7,69.8
225,Jarrell Brantley,UTA,4,9.7,0,4,0.0,0.5,1.3,0.0,0.8,0.0
226,Jarrett Allen,CLE,67,33.0,44,23,0.8,1.2,6.6,3.3,6.1,54.3
227,Jarrett Culver,ATL,10,13.7,5,5,0.6,0.2,2.8,1.8,2.4,75.0
228,Jason Preston,LAC,13,9.4,3,10,0.2,0.0,1.5,0.3,0.5,57.1
229,Javonte Green,CHI,31,15.1,12,19,0.7,0.7,1.9,1.1,1.8,58.9
230,Jaxson Hayes,NOP,47,13.0,22,25,0.4,0.4,2.0,0.8,1.2,63.8
231,Jay Huff,WAS,6,11.9,1,5,0.5,0.5,2.2,1.8,2.7,68.8
232,Jay Scrubb,ORL,1,2.5,1,0,0.0,0.0,1.0,1.0,1.0,100.0
233,Jaylen Brown,BOS,67,35.9,46,21,1.1,0.4,5.7,2.1,3.2,65.6
234,Jaylen Nowell,MIN,65,19.3,34,31,0.6,0.1,2.1,1.3,1.7,80.6
