,PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
136,Drew Eubanks,POR,69,29,40,19.7,21.1,13.3,1.2,0.1,2.4,3.4,1.4,5.8,6.9,
137,Dru Smith,BKN,10,4,6,12.4,17.5,16.7,1.5,0.0,2.6,3.5,1.6,8.6,9.1,
138,Duane Washington Jr.,NYK,31,17,14,12.7,19.3,24.7,2.0,0.2,4.0,5.3,2.5,10.6,12.7,
139,Duncan Robinson,MIA,35,16,19,16.5,16.2,17.0,1.1,0.2,2.5,3.0,1.6,6.9,9.7,
140,Dwight Powell,DAL,67,35,32,19.9,20.5,14.3,0.9,0.1,1.9,2.4,1.2,4.4,5.7,
141,Dylan Windler,CLE,2,2,0,4.0,6.5,6.0,0.5,0.0,0.5,1.0,0.5,7.7,7.7,
142,Dyson Daniels,NOP,50,26,24,18.6,23.8,18.9,2.4,0.2,4.3,6.3,3.0,10.3,12.7,
143,Edmond Sumner,BKN,48,28,20,14.4,16.2,19.0,1.4,0.3,2.6,3.5,1.8,8.7,11.2,
144,Eric Gordon,LAC,61,19,42,29.2,26.8,33.0,2.8,0.4,4.9,6.9,3.5,10.3,12.9,
145,Eugene Omoruyi,DET,33,10,23,14.7,11.8,11.1,0.6,0.1,0.7,1.4,0.7,5.1,6.2,
146,Evan Fournier,NYK,23,13,10,18.0,15.2,17.0,1.5,0.2,2.9,3.9,1.8,10.0,11.7,
147,Evan Mobley,CLE,72,44,28,34.3,42.3,30.9,2.7,0.4,4.7,7.1,3.4,6.5,8.0,
148,Facundo Campazzo,DAL,8,2,6,6.5,12.0,11.6,1.1,0.0,2.6,3.5,1.5,9.4,12.5,
149,Frank Jackson,UTA,1,0,1,5.1,7.0,7.0,1.0,0.0,0.0,2.0,1.0,14.3,14.3,
150,Frank Kaminsky,HOU,33,12,21,6.4,10.8,8.7,0.8,0.0,1.5,2.2,1.0,7.8,9.0,
151,Frank Ntilikina,DAL,43,19,24,11.5,12.1,11.6,1.1,0.1,1.9,3.0,1.2,9.1,10.2,
