,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
273,Juan Toscano-Anderson,UTA,42,17,25,11.9,0.1,0.0,0.2,22.2,0.0,0.1,0.0,22.2
274,Juancho Hernangomez,TOR,42,20,22,14.6,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
275,Julian Champagnie,SAS,8,4,4,12.5,0.4,0.1,0.4,33.3,0.1,0.1,100,50.0
276,Julius Randle,NYK,74,42,32,35.9,6.4,2.7,6.7,39.8,1.0,3.0,33.5,47.4
277,Justin Champagnie,TOR,3,2,1,3.6,0.0,0.0,0.0,-,-,-,-,-
278,Justin Holiday,DAL,40,17,23,15.7,0.8,0.3,1.0,30.0,0.2,0.5,35.0,38.8
279,Justin Jackson,BOS,23,15,8,4.7,0.1,0.0,0.2,20.0,0.0,0.1,50.0,30.0
280,Justise Winslow,POR,29,15,14,26.8,0.6,0.3,1.0,32.1,0.0,0.0,0.0,32.1
281,Jusuf Nurkic,POR,52,24,28,26.8,0.1,0.1,0.2,27.3,0.0,0.1,33.3,31.8
282,KZ Okpala,SAC,35,19,16,7.1,0.1,0.0,0.1,50.0,0.0,0.0,-,50.0
283,Kai Jones,CHA,38,10,28,10.1,0.2,0.1,0.2,33.3,0.0,0.0,-,33.3
284,Karl-Anthony Towns,MIN,22,11,11,33.4,1.4,0.6,1.5,39.4,0.2,0.5,45.5,47.0
285,Kawhi Leonard,LAC,44,28,16,33.8,8.8,4.0,8.3,48.0,0.8,2.0,40.4,52.9
286,Keegan Murray,SAC,70,42,28,29.7,1.1,0.5,1.1,44.0,0.2,0.4,36.7,51.3
287,Keita Bates-Diop,SAS,58,15,43,21.0,0.3,0.1,0.4,30.8,0.0,0.1,0.0,30.8
288,Keldon Johnson,SAS,60,16,44,32.8,2.1,0.9,2.9,29.0,0.4,1.3,26.9,34.9
289,Kelly Olynyk,UTA,60,28,32,28.3,1.0,0.4,1.0,40.3,0.2,0.4,40.9,47.6
290,Kelly Oubre Jr.,CHA,47,16,31,32.7,3.5,1.5,3.8,39.9,0.5,1.5,31.4,46.1
291,Kemba Walker,DAL,9,5,4,16.0,3.7,1.4,3.4,41.9,0.8,2.3,33.3,53.2
292,Kendall Brown,IND,6,1,5,6.7,0.3,0.2,0.2,100,0.0,0.0,-,100
293,Kendrick Nunn,WAS,62,28,34,13.3,2.0,0.8,2.2,38.2,0.4,1.0,35.4,46.7
294,Kennedy Chandler,MEM,31,20,11,7.9,0.4,0.2,0.5,42.9,0.0,0.1,0.0,42.9
295,Kenneth Lofton Jr.,MEM,17,12,5,5.0,0.3,0.1,0.4,28.6,0.1,0.1,50.0,35.7
296,Kenrich Williams,OKC,53,26,27,22.8,1.0,0.5,1.2,39.1,0.1,0.3,28.6,42.2
297,Kentavious Caldwell-Pope,DEN,70,48,22,31.7,2.2,1.0,2.4,41.8,0.2,0.7,32.6,46.4
