,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
470,Thanasis Antetokounmpo,MIL,28,20,8,4.0,0.6,0.1,20.0,0.0,0.0,0.0,0.0,0.3,42.9,0.1,100.0,0.0,0.0,27.3
471,Theo Maledon,CHA,36,10,26,16.1,5.6,2.5,43.9,1.4,48.6,1.1,32.7,0.2,100.0,0.0,0.0,0.0,0.0,48.1
472,Theo Pinson,DAL,36,17,19,6.8,1.8,0.2,42.9,1.1,33.3,0.2,50.0,0.1,25.0,0.0,0.0,0.1,50.0,45.1
473,Thomas Bryant,DEN,53,29,24,19.2,10.4,0.3,75.0,2.3,48.0,0.1,30.0,5.9,70.3,0.5,50.0,1.9,61.2,66.6
474,Tim Hardaway Jr.,DAL,63,34,29,30.3,14.2,1.6,34.9,7.3,39.2,3.2,36.5,0.5,65.0,0.0,50.0,0.3,66.7,51.7
475,Tobias Harris,PHI,62,41,21,33.1,14.8,3.4,48.6,4.7,37.2,1.9,43.1,2.0,79.7,1.2,49.3,0.5,51.9,56.5
476,Tony Bradley,CHI,11,4,7,2.9,1.7,0.0,0.0,0.8,50.0,0.0,0.0,0.2,50.0,0.0,0.0,0.0,0.0,68.2
477,Torrey Craig,PHX,66,36,30,25.3,7.3,0.7,39.2,3.8,39.4,0.2,15.8,2.1,63.4,0.0,0.0,0.5,52.0,54.3
478,Trae Young,ATL,62,32,30,35.0,27.0,11.5,48.1,1.5,35.2,9.7,38.7,0.6,88.9,0.0,0.0,0.2,71.4,49.2
479,Tre Jones,SAS,54,16,38,29.0,12.4,6.2,43.2,1.8,30.3,3.0,35.7,0.3,70.0,0.0,0.0,0.3,83.3,46.3
480,Tre Mann,OKC,58,26,32,18.2,7.9,2.4,41.0,1.6,34.0,3.5,36.2,0.3,44.4,0.0,0.0,0.1,60.0,47.0
481,Trendon Watford,POR,52,24,28,18.1,6.2,2.4,63.5,1.2,42.9,0.3,42.9,1.1,60.5,0.2,55.6,0.6,58.3,59.8
482,Trent Forrest,ATL,18,6,12,13.3,2.8,1.9,48.6,0.0,0.0,0.8,53.8,0.4,80.0,0.0,0.0,0.2,100.0,48.0
483,Trevelin Queen,IND,7,2,5,10.0,3.0,0.3,33.3,0.4,20.0,0.4,9.1,0.9,50.0,0.0,0.0,0.0,0.0,27.6
484,Trevor Hudgins,HOU,5,0,5,5.7,1.8,0.0,0.0,1.2,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3
485,Trevor Keels,NYK,2,2,0,1.9,1.5,0.0,0.0,1.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
486,Trey Lyles,SAC,61,37,24,16.7,7.9,1.7,60.7,3.4,38.8,0.2,25.0,1.6,63.8,0.1,33.3,0.1,33.3,59.4
487,Trey Murphy III,NOP,66,30,36,29.8,13.4,2.1,51.5,6.5,39.8,0.8,33.3,1.7,79.0,0.0,0.0,0.4,68.8,60.0
488,Troy Brown Jr.,LAL,63,31,32,24.7,7.2,0.7,43.5,3.7,37.1,0.8,36.8,1.1,58.1,0.0,100.0,0.3,40.0,54.0
489,Ty Jerome,GSW,44,21,23,18.5,7.0,3.1,50.0,1.6,38.1,1.9,44.6,0.3,100.0,0.0,0.0,0.1,75.0,56.0
490,TyTy Washington Jr.,HOU,30,5,25,13.7,4.6,2.0,52.8,1.2,21.8,1.9,36.1,0.1,50.0,0.0,0.0,0.1,33.3,41.0
491,Tyler Dorsey,DAL,3,2,1,2.8,3.0,0.0,0.0,1.0,50.0,2.0,100.0,0.0,0.0,0.0,0.0,0.7,100.0,90.0
492,Tyler Herro,MIA,56,30,26,35.4,20.3,6.6,50.5,4.8,38.6,7.8,37.6,0.6,61.5,0.0,100.0,0.3,61.5,52.1
493,Tyrese Haliburton,IND,54,28,26,33.7,20.8,7.5,52.8,2.1,40.4,8.6,42.2,0.3,58.3,0.0,0.0,0.2,66.7,58.5
494,Tyrese Martin,ATL,13,8,5,3.5,1.2,0.2,0.0,0.0,0.0,0.4,50.0,0.0,0.0,0.0,0.0,0.2,100.0,40.6
495,Tyrese Maxey,PHI,48,32,16,32.9,19.8,7.0,49.1,4.7,41.9,5.3,41.0,0.3,50.0,0.0,0.0,0.3,71.4,54.6
496,Tyus Jones,MEM,67,41,26,23.4,10.1,3.6,48.8,3.2,37.8,3.8,43.8,0.0,25.0,0.0,0.0,0.0,100.0,52.1
497,Udoka Azubuike,UTA,26,14,12,5.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.7,88.0,0.1,100.0,0.2,50.0,82.8
498,Udonis Haslem,MIA,6,3,3,7.9,0.5,0.0,0.0,0.3,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,8.3
499,Usman Garuba,HOU,61,15,46,13.2,3.3,0.1,33.3,1.1,59.0,0.0,0.0,1.6,50.6,0.0,0.0,0.3,46.7,61.6
500,Vernon Carey Jr.,WAS,11,8,3,2.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,50.0,0.2,100.0,0.0,0.0,25.0
501,Victor Oladipo,MIA,37,22,15,27.0,10.3,3.1,45.5,2.8,30.4,3.3,38.2,0.4,50.0,0.0,0.0,0.1,0.0,47.3
502,Vince Williams Jr.,MEM,11,6,5,4.7,0.9,0.0,0.0,0.5,20.0,0.0,0.0,0.4,66.7,0.0,0.0,0.0,0.0,35.7
503,Vit Krejci,ATL,23,11,12,5.4,1.2,0.2,33.3,0.4,21.4,0.3,50.0,0.1,100.0,0.0,0.0,0.0,0.0,46.6
504,Vlatko Cancar,DEN,50,33,17,16.0,5.5,0.4,32.0,2.5,40.0,0.2,30.8,1.4,74.4,0.2,45.5,0.5,72.7,59.1
505,Walker Kessler,UTA,65,31,34,22.4,8.6,0.1,66.7,0.1,50.0,0.0,0.0,7.0,75.2,0.1,75.0,1.1,62.7,72.3
506,Wendell Carter Jr.,ORL,46,20,26,29.8,15.3,2.6,63.0,4.3,34.5,1.0,43.4,6.1,69.6,0.6,64.7,1.4,57.4,57.9
507,Wendell Moore Jr.,MIN,26,14,12,5.6,1.5,0.4,100.0,0.1,6.7,0.1,25.0,0.2,66.7,0.0,0.0,0.2,100.0,43.6
508,Wenyen Gabriel,LAL,55,28,27,14.8,5.8,0.3,72.7,0.5,27.8,0.1,50.0,3.5,67.5,0.1,75.0,0.9,61.1,63.1
509,Wesley Matthews,MIL,40,30,10,15.4,3.2,0.4,30.0,2.1,32.2,0.4,40.0,0.4,50.0,0.0,0.0,0.1,50.0,46.3
510,Will Barton,TOR,46,21,25,18.3,7.0,1.5,35.1,2.4,41.3,2.1,34.2,0.3,85.7,0.0,0.0,0.1,33.3,47.7
511,Willy Hernangomez,NOP,34,19,15,13.0,7.3,0.4,50.0,0.2,21.4,0.0,0.0,4.4,58.3,0.4,28.6,1.1,56.0,52.8
512,Xavier Tillman,MEM,48,30,18,17.6,6.3,0.5,54.5,0.5,33.3,0.4,50.0,3.2,63.4,0.2,50.0,1.5,57.9,60.4
513,Yuta Watanabe,BKN,46,24,22,17.7,6.3,0.6,40.7,3.5,47.8,0.1,18.8,0.8,66.7,0.0,0.0,0.1,60.0,63.6
514,Zach Collins,SAS,55,17,38,22.2,11.0,1.0,59.0,3.1,39.0,0.2,26.7,4.3,64.9,2.2,54.9,2.1,63.5,57.7
515,Zach LaVine,CHI,62,29,33,36.0,24.8,7.6,53.5,4.7,44.1,7.2,38.0,1.2,80.0,0.1,20.0,0.4,55.6,55.9
516,Zeke Nnaji,DEN,43,29,14,13.5,5.2,0.0,50.0,1.0,30.4,0.0,0.0,3.2,67.4,0.4,63.6,0.5,72.7,61.5
517,Ziaire Williams,MEM,35,21,14,14.7,5.0,0.6,42.9,1.3,21.3,1.1,44.7,1.4,76.9,0.0,0.0,0.1,33.3,47.6
518,Zion Williamson,NOP,29,17,12,33.0,26.0,12.5,58.3,0.6,37.5,0.5,31.8,5.2,72.3,2.7,58.8,1.8,73.3,61.5
