trad_player,player_points_percentage,player_rebounds_percentage,player_assists_percentage,player_turnovers_percentage,player_steals_percentage,player_free_throws_attempted_percentage,player_field_goal_attepted_percentage,player_points_percentage_per_min,player_rebounds_percentage_per_min,player_assists_percentage_per_min,player_turnovers_percentage_per_min,player_steals_percentage_per_min,player_points_percentage_percentile,player_rebounds_percentage_percentile,player_assists_percentage_percentile,player_turnovers_percentage_percentile,player_steals_percentage_percentile,player_free_throws_attempted_percentage_percentile,player_field_goal_attepted_percentage_percentile,player_points_percentage_per_min_percentile,player_rebounds_percentage_per_min_percentile,player_assists_percentage_per_min_percentile,player_turnovers_percentage_per_min_percentile,player_steals_percentage_per_min_percentile
Luguentz Dort,0.12,0.1,0.09,0.1,0.12,0.15,0.13,0.38,0.34,0.31,0.31,0.39,0.8,0.72,0.7,0.73,0.78,0.87,0.82,0.65,0.46,0.52,0.35,0.54
Harrison Barnes,0.12,0.11,0.06,0.08,0.08,0.2,0.11,0.38,0.34,0.18,0.25,0.27,0.8,0.77,0.56,0.62,0.53,0.91,0.76,0.65,0.46,0.2,0.23,0.27
Saddiq Bey,0.12,0.11,0.06,0.07,0.12,0.12,0.12,0.42,0.4,0.22,0.24,0.4,0.8,0.77,0.56,0.55,0.78,0.81,0.79,0.73,0.57,0.31,0.21,0.55
Khris Middleton,0.12,0.09,0.19,0.16,0.1,0.13,0.14,0.48,0.36,0.76,0.71,0.43,0.8,0.66,0.9,0.88,0.68,0.83,0.85,0.83,0.5,0.93,0.94,0.62
Immanuel Quickley,0.12,0.09,0.14,0.09,0.16,0.11,0.12,0.42,0.32,0.5,0.33,0.57,0.8,0.66,0.83,0.68,0.92,0.78,0.79,0.73,0.4,0.76,0.41,0.84
Bogdan Bogdanovic,0.12,0.07,0.11,0.09,0.12,0.05,0.13,0.4,0.25,0.38,0.34,0.43,0.8,0.51,0.76,0.68,0.78,0.48,0.82,0.69,0.18,0.63,0.43,0.62
Chris Paul,0.12,0.1,0.32,0.14,0.22,0.13,0.13,0.38,0.3,0.99,0.46,0.71,0.8,0.72,0.99,0.84,0.99,0.83,0.82,0.65,0.33,0.99,0.67,0.93
Jabari Smith Jr.,0.12,0.16,0.06,0.09,0.07,0.1,0.13,0.37,0.51,0.18,0.31,0.23,0.8,0.91,0.56,0.68,0.46,0.75,0.82,0.61,0.75,0.2,0.35,0.2
Bobby Portis,0.12,0.2,0.06,0.08,0.06,0.09,0.13,0.47,0.77,0.22,0.32,0.22,0.8,0.96,0.56,0.62,0.39,0.7,0.82,0.82,0.92,0.31,0.38,0.18
Markelle Fultz,0.12,0.09,0.24,0.18,0.18,0.09,0.13,0.41,0.31,0.79,0.6,0.62,0.8,0.66,0.95,0.91,0.94,0.7,0.82,0.71,0.37,0.94,0.85,0.89
Kelly Olynyk,0.11,0.13,0.14,0.15,0.14,0.13,0.09,0.37,0.46,0.48,0.56,0.5,0.77,0.85,0.83,0.86,0.87,0.83,0.68,0.61,0.68,0.74,0.8,0.76
Jakob Poeltl,0.11,0.22,0.1,0.12,0.12,0.11,0.1,0.42,0.82,0.38,0.47,0.44,0.77,0.97,0.73,0.79,0.78,0.78,0.73,0.73,0.95,0.63,0.69,0.65
Marvin Bagley III,0.11,0.15,0.04,0.07,0.07,0.1,0.1,0.44,0.64,0.14,0.29,0.25,0.77,0.89,0.37,0.55,0.46,0.75,0.73,0.77,0.85,0.12,0.3,0.23
Alec Burks,0.11,0.07,0.09,0.08,0.1,0.15,0.1,0.51,0.31,0.43,0.38,0.5,0.77,0.51,0.7,0.62,0.68,0.87,0.73,0.87,0.37,0.69,0.51,0.76
Derrick White,0.11,0.08,0.15,0.09,0.1,0.11,0.1,0.37,0.28,0.49,0.33,0.36,0.77,0.59,0.84,0.68,0.68,0.78,0.73,0.61,0.28,0.75,0.41,0.46
Kyle Lowry,0.11,0.1,0.22,0.15,0.14,0.12,0.11,0.33,0.33,0.67,0.48,0.42,0.77,0.72,0.93,0.86,0.87,0.81,0.76,0.47,0.43,0.9,0.71,0.6
John Collins,0.11,0.15,0.05,0.09,0.08,0.1,0.11,0.37,0.49,0.16,0.31,0.27,0.77,0.89,0.47,0.68,0.53,0.75,0.76,0.61,0.72,0.16,0.35,0.27
Nic Claxton,0.11,0.23,0.07,0.09,0.12,0.15,0.09,0.38,0.78,0.24,0.32,0.39,0.77,0.98,0.62,0.68,0.78,0.87,0.68,0.65,0.93,0.37,0.38,0.54
Austin Reaves,0.11,0.07,0.13,0.12,0.09,0.15,0.09,0.37,0.23,0.45,0.41,0.35,0.77,0.51,0.81,0.79,0.61,0.87,0.68,0.61,0.14,0.7,0.57,0.43
Max Strus,0.11,0.08,0.09,0.07,0.07,0.06,0.12,0.35,0.28,0.3,0.23,0.24,0.77,0.59,0.7,0.55,0.46,0.55,0.79,0.55,0.28,0.49,0.19,0.21
Malik Beasley,0.11,0.08,0.06,0.08,0.12,0.03,0.13,0.4,0.3,0.23,0.32,0.48,0.77,0.59,0.56,0.62,0.78,0.31,0.82,0.69,0.33,0.35,0.38,0.73
Malik Monk,0.11,0.06,0.14,0.14,0.09,0.11,0.12,0.49,0.28,0.65,0.67,0.44,0.77,0.42,0.83,0.84,0.61,0.78,0.79,0.84,0.28,0.88,0.91,0.65
Eric Gordon,0.11,0.05,0.12,0.1,0.09,0.1,0.11,0.38,0.16,0.39,0.33,0.29,0.77,0.33,0.79,0.73,0.61,0.75,0.76,0.65,0.04,0.64,0.41,0.31
Dennis Schroder,0.11,0.05,0.17,0.13,0.12,0.14,0.11,0.35,0.18,0.57,0.42,0.36,0.77,0.33,0.87,0.82,0.78,0.85,0.76,0.55,0.06,0.82,0.59,0.46
John Wall,0.11,0.06,0.23,0.16,0.13,0.14,0.12,0.48,0.27,1.04,0.74,0.58,0.77,0.42,0.94,0.88,0.83,0.85,0.79,0.83,0.25,0.99,0.95,0.85
Caris LeVert,0.11,0.09,0.15,0.13,0.15,0.11,0.12,0.34,0.31,0.51,0.45,0.52,0.77,0.66,0.84,0.82,0.9,0.78,0.79,0.51,0.37,0.77,0.65,0.79
Tre Jones,0.11,0.08,0.23,0.11,0.2,0.11,0.12,0.38,0.27,0.82,0.38,0.69,0.77,0.59,0.94,0.76,0.97,0.78,0.79,0.65,0.25,0.96,0.51,0.92
Keegan Murray,0.1,0.1,0.04,0.06,0.13,0.04,0.11,0.32,0.36,0.15,0.2,0.43,0.74,0.72,0.37,0.47,0.83,0.39,0.76,0.43,0.5,0.14,0.15,0.62
Marcus Morris Sr.,0.1,0.09,0.08,0.06,0.09,0.05,0.12,0.36,0.32,0.26,0.23,0.3,0.74,0.66,0.66,0.47,0.61,0.48,0.79,0.58,0.4,0.42,0.19,0.32
Bones Hyland,0.1,0.06,0.11,0.1,0.1,0.09,0.12,0.49,0.29,0.55,0.53,0.51,0.74,0.42,0.76,0.73,0.68,0.7,0.79,0.84,0.31,0.81,0.77,0.77
Kris Dunn,0.1,0.09,0.19,0.09,0.2,0.09,0.1,0.41,0.37,0.8,0.41,0.87,0.74,0.66,0.9,0.68,0.97,0.7,0.73,0.71,0.52,0.95,0.57,0.96
Mike Conley,0.1,0.06,0.26,0.11,0.15,0.1,0.1,0.33,0.2,0.86,0.35,0.51,0.74,0.42,0.96,0.76,0.9,0.75,0.73,0.47,0.09,0.97,0.44,0.77
Isaiah Stewart,0.1,0.19,0.06,0.09,0.05,0.11,0.1,0.36,0.66,0.23,0.33,0.17,0.74,0.94,0.56,0.68,0.32,0.78,0.73,0.58,0.87,0.35,0.41,0.12
Bruce Brown,0.1,0.1,0.12,0.11,0.15,0.08,0.1,0.34,0.33,0.42,0.41,0.52,0.74,0.72,0.79,0.76,0.9,0.65,0.73,0.51,0.43,0.68,0.57,0.79
Clint Capela,0.1,0.25,0.03,0.07,0.1,0.09,0.09,0.39,0.94,0.12,0.26,0.36,0.74,0.99,0.27,0.55,0.68,0.7,0.68,0.67,0.99,0.1,0.25,0.46
Jaden McDaniels,0.1,0.09,0.07,0.1,0.13,0.08,0.1,0.33,0.3,0.22,0.35,0.41,0.74,0.66,0.62,0.73,0.83,0.65,0.73,0.47,0.33,0.31,0.44,0.57
Zach Collins,0.1,0.14,0.1,0.14,0.08,0.1,0.09,0.43,0.62,0.46,0.62,0.32,0.74,0.87,0.73,0.84,0.53,0.75,0.68,0.75,0.83,0.71,0.87,0.36
Rui Hachimura,0.1,0.09,0.03,0.07,0.05,0.08,0.11,0.4,0.4,0.14,0.29,0.24,0.74,0.66,0.27,0.55,0.32,0.65,0.76,0.69,0.57,0.12,0.3,0.21
Mason Plumlee,0.1,0.2,0.13,0.12,0.08,0.17,0.07,0.36,0.78,0.48,0.46,0.31,0.74,0.96,0.81,0.79,0.53,0.89,0.55,0.58,0.93,0.74,0.67,0.34
Lonnie Walker IV,0.1,0.04,0.05,0.05,0.08,0.08,0.11,0.42,0.17,0.22,0.2,0.3,0.74,0.25,0.47,0.38,0.53,0.65,0.76,0.73,0.05,0.31,0.15,0.32
Marcus Smart,0.1,0.07,0.24,0.19,0.23,0.08,0.11,0.3,0.22,0.73,0.6,0.69,0.74,0.51,0.95,0.92,1.0,0.65,0.76,0.36,0.12,0.92,0.85,0.92
Naz Reid,0.1,0.12,0.05,0.09,0.07,0.08,0.1,0.55,0.64,0.27,0.47,0.39,0.74,0.82,0.47,0.68,0.46,0.65,0.73,0.91,0.85,0.44,0.69,0.54
Caleb Martin,0.09,0.12,0.07,0.09,0.14,0.07,0.09,0.29,0.42,0.23,0.3,0.45,0.69,0.82,0.62,0.68,0.87,0.6,0.68,0.33,0.61,0.35,0.32,0.67
Cam Thomas,0.09,0.04,0.06,0.08,0.05,0.14,0.09,0.4,0.26,0.3,0.53,0.25,0.69,0.25,0.56,0.62,0.32,0.85,0.68,0.69,0.21,0.49,0.77,0.23
Aaron Nesmith,0.09,0.09,0.05,0.07,0.09,0.08,0.09,0.33,0.37,0.2,0.3,0.35,0.69,0.66,0.47,0.55,0.61,0.65,0.68,0.47,0.52,0.26,0.32,0.43
Corey Kispert,0.09,0.06,0.05,0.05,0.07,0.05,0.09,0.33,0.22,0.18,0.19,0.24,0.69,0.42,0.47,0.38,0.46,0.48,0.68,0.47,0.12,0.2,0.14,0.21
Grayson Allen,0.09,0.07,0.09,0.08,0.14,0.09,0.09,0.32,0.25,0.32,0.28,0.52,0.69,0.51,0.7,0.62,0.87,0.7,0.68,0.43,0.18,0.54,0.29,0.79
Doug McDermott,0.09,0.05,0.05,0.06,0.03,0.05,0.09,0.42,0.25,0.26,0.32,0.16,0.69,0.33,0.47,0.47,0.18,0.48,0.68,0.73,0.18,0.42,0.38,0.11
James Wiseman,0.09,0.14,0.03,0.07,0.04,0.1,0.09,0.45,0.74,0.15,0.33,0.18,0.69,0.87,0.27,0.55,0.24,0.75,0.68,0.79,0.91,0.14,0.41,0.13
Cam Reddish,0.09,0.05,0.06,0.09,0.13,0.08,0.09,0.33,0.21,0.26,0.37,0.48,0.69,0.33,0.56,0.68,0.83,0.65,0.68,0.47,0.11,0.42,0.48,0.73
Herbert Jones,0.09,0.09,0.09,0.09,0.19,0.09,0.09,0.29,0.31,0.32,0.31,0.61,0.69,0.66,0.7,0.68,0.96,0.7,0.68,0.33,0.37,0.54,0.35,0.88
