,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
97,Andrew Wiggins,GSW,28,36,36,22.5,1.1,3.2,33.9,37.0,16.8,0.9,2.4,37.2,5.7,0.2,0.8,23.5
98,Jevon Carter,MIL,27,61,56,47.3,1.3,3.1,41.9,51.0,24.5,0.7,1.6,45.7,22.8,0.6,1.5,37.7
99,Chris Duarte,IND,25,39,38,44.5,1.0,3.1,31.1,38.5,21.9,0.5,1.5,33.1,22.6,0.5,1.6,28.9
100,John Wall,LAC,32,34,32,31.1,0.8,3.1,26.7,27.1,25.1,0.8,2.5,31.6,5.9,0.0,0.6,5.1
101,Jalen Suggs,ORL,21,37,32,37.7,1.1,3.0,36.3,44.7,16.7,0.6,1.4,43.7,21.0,0.5,1.7,30.0
102,Jaylen Nowell,MIN,23,62,54,31.1,1.3,3.0,42.5,49.7,16.4,0.8,1.6,53.2,14.7,0.4,1.4,31.0
103,Evan Fournier,NYK,30,23,22,45.7,1.0,3.0,31.9,40.6,16.6,0.4,1.1,39.4,29.1,0.5,1.9,27.2
104,Jerami Grant,POR,28,56,52,20.3,1.2,3.0,41.0,44.6,17.0,1.0,2.5,40.3,3.3,0.2,0.5,43.8
105,Bennedict Mathurin,IND,20,63,61,23.3,1.0,3.0,33.3,43.3,10.3,0.4,1.3,30.8,13.0,0.6,1.6,35.8
106,Dennis Schroder,LAL,29,48,44,30.7,1.2,2.9,41.8,43.6,26.1,1.1,2.5,45.2,4.6,0.1,0.4,22.7
107,T.J. Warren,PHX,29,28,26,40.0,1.4,2.9,47.6,48.2,37.1,1.4,2.7,50.2,2.9,0.0,0.2,19.0
108,Rui Hachimura,LAL,25,44,41,29.0,1.4,2.9,48.4,48.4,28.3,1.4,2.8,49.6,0.7,0.0,0.1,0.0
109,Terrence Ross,PHX,32,45,38,39.9,1.3,2.9,45.0,50.0,27.1,1.0,2.0,51.5,12.8,0.3,0.9,31.2
