,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
341,A.J. Lawson,DAL,22,13,8,57.7,0.5,1.1,46.7,70.0,0.0,0.0,0.0,-,57.7,0.5,1.1,47.0
342,Isaiah Roby,SAS,25,41,26,31.1,0.4,1.1,31.9,46.8,2.0,0.0,0.1,28.6,29.1,0.3,1.1,31.8
343,Javonte Green,CHI,29,29,18,31.7,0.4,1.1,36.4,54.5,0.0,0.0,0.0,-,31.7,0.4,1.1,36.0
344,Keon Johnson,POR,21,37,20,29.0,0.4,1.1,33.3,50.0,0.0,0.0,0.0,-,29.0,0.4,1.1,33.3
345,Gary Payton II,GSW,30,15,11,41.5,0.6,1.1,52.9,79.4,0.0,0.0,0.0,-,41.5,0.6,1.1,53.1
346,Serge Ibaka,MIL,33,16,11,33.3,0.3,1.1,27.8,41.7,1.9,0.0,0.1,0.0,31.5,0.3,1.1,29.2
347,Bryce McGowens,CHA,20,37,25,33.3,0.3,1.1,31.7,47.6,1.6,0.0,0.1,0.0,31.7,0.3,1.1,33.3
348,Aaron Holiday,ATL,26,54,36,31.2,0.5,1.1,42.4,63.6,0.0,0.0,0.0,-,31.2,0.5,1.1,42.2
349,Jimmy Butler,MIA,33,58,38,7.8,0.4,1.1,36.5,49.2,1.5,0.1,0.2,57.1,6.3,0.3,0.9,31.8
350,Jordan Goodwin,WAS,24,51,33,22.1,0.4,1.1,38.2,56.4,1.2,0.0,0.1,33.3,20.9,0.4,1.0,38.2
351,Jason Preston,LAC,23,13,9,34.1,0.3,1.1,28.6,42.9,0.0,0.0,0.0,-,34.1,0.3,1.1,28.7
352,Larry Nance Jr.,NOP,30,54,32,21.3,0.4,1.1,39.7,51.7,7.4,0.2,0.4,45.9,14.0,0.3,0.7,37.1
353,Derrick Jones Jr.,CHI,26,53,37,31.1,0.3,1.1,32.1,48.2,0.0,0.0,0.0,-,31.1,0.3,1.1,32.1
354,Jakob Poeltl,TOR,27,61,41,12.0,0.5,1.1,48.4,48.4,12.0,0.5,1.1,48.6,0.0,0.0,0.0,-
355,Svi Mykhailiuk,CHA,25,23,13,45.3,0.5,1.0,50.0,75.0,1.9,0.0,0.0,0.0,43.4,0.5,1.0,52.0
356,Theo Pinson,DAL,27,37,20,62.3,0.3,1.0,31.6,47.4,0.0,0.0,0.0,-,62.3,0.3,1.0,31.1
357,Bol Bol,ORL,23,67,47,15.6,0.3,1.0,30.4,43.5,1.4,0.0,0.1,44.4,14.3,0.3,0.9,28.7
358,Zeke Nnaji,DEN,22,45,26,29.9,0.3,1.0,30.4,44.6,1.3,0.0,0.0,50.0,28.6,0.3,1.0,29.6
359,Dylan Windler,CLE,26,2,2,66.7,0.5,1.0,50.0,75.0,0.0,0.0,0.0,-,66.7,0.5,1.0,50.0
360,Cole Swider,LAL,23,6,3,66.7,0.5,1.0,50.0,75.0,0.0,0.0,0.0,-,66.7,0.5,1.0,50.0
361,Theo Maledon,CHA,21,36,21,23.2,0.5,1.0,47.2,68.1,1.9,0.1,0.1,75.0,21.3,0.4,0.9,45.7
362,Garrett Temple,NOP,36,20,14,48.8,0.4,1.0,40.0,60.0,2.4,0.0,0.1,0.0,46.3,0.4,0.9,42.1
363,Davon Reed,LAL,27,40,21,48.2,0.3,1.0,32.5,48.8,1.2,0.0,0.0,0.0,47.0,0.3,1.0,33.7
364,Stanley Umude,DET,23,1,1,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-,100.0,0.0,1.0,0.0
365,Olivier Sarr,OKC,24,3,2,42.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-,42.9,0.0,1.0,0.0
366,Carlik Jones,CHI,25,1,1,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-,25.0,0.0,1.0,0.0
367,Frank Jackson,UTA,24,1,1,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-,33.3,0.0,1.0,0.0
368,Christian Braun,DEN,21,66,38,29.4,0.4,1.0,38.5,56.9,2.3,0.0,0.1,25.0,27.1,0.4,0.9,39.6
369,Furkan Korkmaz,PHI,25,29,16,32.9,0.3,1.0,32.1,48.2,2.4,0.0,0.1,0.0,30.6,0.3,0.9,34.4
370,Isaiah Hartenstein,NYK,24,73,42,24.0,0.3,1.0,31.4,37.1,11.6,0.2,0.5,40.4,12.3,0.1,0.5,22.4
371,Trendon Watford,POR,22,54,32,21.2,0.4,0.9,43.1,62.7,1.7,0.0,0.1,57.1,19.5,0.4,0.9,42.5
372,Frank Kaminsky,HOU,29,33,16,56.4,0.4,0.9,41.9,61.3,1.8,0.0,0.0,100,54.5,0.4,0.9,39.6
373,Jarrett Allen,CLE,24,62,36,10.1,0.3,0.9,32.8,33.6,8.6,0.3,0.8,36.7,1.6,0.0,0.1,13.3
374,Luka Doncic,DAL,24,57,35,4.1,0.4,0.9,44.2,65.4,0.1,0.0,0.0,100,4.1,0.4,0.9,43.8
375,Vince Williams Jr.,MEM,22,11,7,71.4,0.2,0.9,20.0,30.0,0.0,0.0,0.0,-,71.4,0.2,0.9,19.8
376,Kemba Walker,DAL,32,9,6,14.0,0.1,0.9,12.5,12.5,1.8,0.1,0.1,100,12.3,0.0,0.8,0.0
377,Brandon Clarke,MEM,26,56,37,14.0,0.4,0.9,49.0,50.0,12.3,0.4,0.8,53.2,1.7,0.0,0.1,18.2
378,Cam Thomas,BKN,21,52,24,11.3,0.4,0.9,44.4,62.2,1.3,0.1,0.1,80.0,10.1,0.3,0.8,40.3
379,Jamal Cain,MIA,24,15,9,26.0,0.2,0.9,23.1,30.8,2.0,0.1,0.1,100,24.0,0.1,0.8,16.3
380,Andre Iguodala,GSW,39,7,3,50.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,-,50.0,0.0,0.9,0.0
381,Alperen Sengun,HOU,20,65,34,8.0,0.3,0.8,36.4,48.2,2.8,0.1,0.3,37.9,5.3,0.2,0.6,36.4
382,Shai Gilgeous-Alexander,OKC,24,60,33,4.2,0.3,0.8,35.3,49.0,0.6,0.1,0.1,58.3,3.6,0.2,0.7,31.5
383,Onyeka Okongwu,ATL,22,69,39,13.5,0.4,0.8,43.9,45.6,12.1,0.3,0.7,44.6,1.4,0.0,0.1,33.3
384,Mamadi Diakite,CLE,26,18,9,45.5,0.2,0.8,20.0,30.0,6.1,0.0,0.1,0.0,39.4,0.2,0.7,23.6
385,Nerlens Noel,BKN,28,17,9,38.9,0.3,0.8,35.7,39.3,33.3,0.2,0.7,33.8,5.6,0.1,0.1,50.0
386,Kenneth Lofton Jr.,MEM,20,16,9,32.5,0.2,0.8,23.1,34.6,10.0,0.0,0.3,0.0,22.5,0.2,0.6,33.9
387,Justin Jackson,BOS,27,23,12,66.7,0.2,0.8,22.2,33.3,0.0,0.0,0.0,-,66.7,0.2,0.8,21.8
388,Kevon Harris,ORL,25,30,14,27.7,0.3,0.8,39.1,58.7,0.0,0.0,0.0,-,27.7,0.3,0.8,39.0
389,James Wiseman,DET,21,35,21,11.0,0.3,0.8,37.0,42.6,6.5,0.2,0.5,43.5,4.5,0.1,0.3,29.0
390,Brandon Boston Jr.,LAC,21,21,9,13.2,0.2,0.8,31.3,46.9,1.7,0.0,0.1,0.0,11.6,0.2,0.7,35.8
391,Amir Coffey,LAC,25,45,19,24.1,0.2,0.8,32.4,45.6,2.1,0.0,0.1,57.1,22.0,0.2,0.7,29.0
392,Josh Christopher,HOU,21,54,28,16.0,0.2,0.8,24.4,35.4,0.4,0.0,0.0,100,15.6,0.2,0.7,23.0
393,Ron Harper Jr.,TOR,22,4,2,42.9,0.5,0.8,66.7,100.0,0.0,0.0,0.0,-,42.9,0.5,0.8,66.7
394,Malcolm Hill,CHI,27,4,1,75.0,0.3,0.8,33.3,50.0,0.0,0.0,0.0,-,75.0,0.3,0.8,33.3
395,Facundo Campazzo,DAL,31,8,4,46.2,0.3,0.8,33.3,50.0,0.0,0.0,0.0,-,46.2,0.3,0.8,33.3
396,Isaiah Todd,WAS,21,4,3,75.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,-,75.0,0.0,0.8,0.0
