,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
190,Ja Morant,MEM,23,4.5,7.4,60.5,2.9,6.8,43.1,0.6,1.4,41.1,0.1,0.3,35.3,0.1,0.2,45.5,0.2,0.5,39.3,1.4,4.5,31.1
191,JaMychal Green,GSW,32,1.3,1.8,71.1,0.3,0.5,60.0,0.1,0.2,33.3,0.1,0.5,27.3,0.2,0.4,47.4,0.3,0.8,36.6,0.5,1.3,39.1
192,JaVale McGee,DAL,35,1.4,1.9,72.5,0.4,0.9,43.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,33.3
193,Jabari Smith Jr.,HOU,19,1.4,2.0,69.9,0.8,2.0,39.5,0.6,1.9,33.9,0.2,0.5,34.4,0.2,0.5,37.5,0.3,1.0,35.9,1.3,4.2,30.1
194,Jabari Walker,POR,20,0.7,1.2,55.6,0.1,0.3,33.3,0.1,0.2,50.0,0.0,0.3,12.5,0.0,0.1,50.0,0.1,0.3,20.0,0.1,0.4,26.3
195,Jack White,DEN,25,0.2,0.4,50.0,0.1,0.2,50.0,0.0,0.0,0.0,0.1,0.3,50.0,0.3,1.0,33.3,0.3,0.6,40.0,0.1,0.2,33.3
196,Jaden Hardy,DAL,20,1.1,2.3,50.6,0.3,0.7,44.0,0.2,0.7,30.4,0.2,0.7,35.3,0.1,0.3,30.0,0.3,0.9,33.3,0.9,2.2,38.2
197,Jaden Ivey,DET,21,2.3,4.1,54.4,0.8,2.3,32.7,0.7,1.8,40.9,0.1,0.3,35.3,0.1,0.3,23.5,0.2,0.5,29.4,1.3,3.8,34.0
198,Jaden McDaniels,MIN,22,2.3,3.1,73.6,0.7,1.6,44.8,0.4,0.9,43.3,0.4,0.9,44.1,0.3,0.9,33.9,0.7,1.8,38.8,0.5,1.4,36.8
199,Jaden Springer,PHI,20,0.7,1.0,71.4,0.1,0.3,50.0,0.1,0.4,33.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
200,Jae Crowder,MIL,32,0.3,0.4,75.0,0.4,0.5,66.7,0.2,0.3,66.7,0.3,0.5,60.0,0.3,0.6,40.0,0.5,0.9,50.0,0.7,2.1,34.8
201,Jae'Sean Tate,HOU,27,2.0,3.4,59.2,1.1,2.4,46.5,0.1,0.2,42.9,0.1,0.4,36.4,0.0,0.1,25.0,0.2,0.5,33.3,0.2,0.9,22.2
202,Jake LaRavia,MEM,21,0.3,0.6,50.0,0.1,0.2,66.7,0.0,0.0,0.0,0.2,0.3,50.0,0.1,0.1,66.7,0.2,0.4,54.5,0.5,1.7,30.2
203,Jakob Poeltl,TOR,27,3.6,4.8,76.1,1.7,3.5,49.5,0.1,0.4,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Jalen Brunson,NYK,26,1.9,3.3,58.0,3.2,6.2,51.3,1.5,3.2,45.2,0.2,0.4,56.5,0.3,0.7,39.0,0.5,1.0,45.3,1.4,3.6,39.7
205,Jalen Duren,DET,19,3.2,4.5,71.5,0.4,1.1,36.5,0.1,0.2,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,Jalen Green,HOU,21,2.7,5.0,53.8,1.1,2.8,38.4,1.0,2.6,39.8,0.1,0.6,26.5,0.2,0.5,33.3,0.3,1.0,29.7,2.2,6.4,34.4
