,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
182,Isaiah Roby,SAS,25,4.6,7.3,63.7,1.4,2.5,54.1,0.5,1.4,37.5,0.8,1.4,54.7,1.4,3.3,41.9,1.8,4.9,36.3
183,Isaiah Stewart,DET,21,11.7,18.2,64.6,2.7,5.9,45.1,1.7,4.0,41.3,1.4,3.0,46.4,3.4,8.7,39.0,4.4,11.9,37.4
184,Isaiah Todd,WAS,21,1.3,1.3,100.0,0.3,0.7,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,100,0.7,2.0,33.3
185,Ish Smith,DEN,34,3.4,5.6,61.5,1.0,2.3,44.2,0.6,1.3,47.2,0.5,1.4,34.0,0.9,2.7,35.2,1.3,4.1,31.1
186,Ish Wainright,PHX,28,5.1,8.2,62.4,1.5,3.5,44.3,1.1,2.7,38.5,0.6,1.7,36.7,1.3,3.6,35.5,2.1,6.7,31.4
187,Ivica Zubac,LAC,26,9.9,15.7,63.4,3.2,7.0,45.7,2.6,5.5,47.0,1.4,3.3,42.0,2.7,7.2,37.9,5.0,13.2,37.7
188,JD Davison,BOS,20,0.5,1.0,50.0,0.0,0.2,0.0,0.3,0.7,50.0,0.0,0.4,0.0,0.8,1.9,40.0,0.4,1.4,30.8
189,JT Thor,CHA,20,5.4,8.7,62.6,1.3,2.7,46.2,1.0,2.1,47.3,0.8,1.8,45.2,1.5,3.8,40.3,1.8,5.9,30.4
190,Ja Morant,MEM,23,12.4,20.6,60.1,2.7,6.6,40.5,1.9,4.9,39.1,1.4,3.5,40.2,3.4,9.4,36.6,5.0,14.5,34.3
191,JaMychal Green,GSW,32,5.3,8.0,65.5,2.0,4.3,46.9,0.9,1.9,48.0,0.6,1.4,44.3,1.3,3.7,36.1,2.7,6.8,39.9
192,JaVale McGee,DAL,35,3.5,5.6,62.9,1.1,2.1,51.9,0.7,1.6,42.6,0.6,1.4,48.0,1.1,2.7,39.6,1.0,3.3,30.2
193,Jabari Smith Jr.,HOU,19,12.4,18.6,66.7,2.6,5.8,44.4,2.0,4.2,48.3,1.1,3.0,37.6,3.3,8.6,38.4,6.4,16.7,38.6
194,Jabari Walker,POR,20,4.7,7.6,62.3,0.7,1.6,41.1,0.5,1.0,46.8,0.3,0.8,33.3,1.2,3.2,38.3,1.6,4.5,35.1
195,Jack White,DEN,25,1.4,2.1,63.3,0.4,0.6,71.4,0.4,0.7,66.7,0.0,0.1,0.0,0.4,1.0,36.4,0.6,1.6,34.8
196,Jaden Hardy,DAL,20,6.3,9.7,64.4,1.4,3.0,45.7,1.0,2.2,44.1,0.9,1.8,47.3,1.6,4.5,35.2,2.1,6.2,33.8
197,Jaden Ivey,DET,21,13.4,20.4,65.5,2.9,6.6,44.7,1.8,4.0,45.0,1.4,3.3,41.7,3.5,8.8,39.6,4.8,12.6,38.4
198,Jaden McDaniels,MIN,22,11.6,19.0,61.0,2.7,6.3,43.1,2.4,5.4,44.1,1.4,3.6,39.4,3.8,9.9,38.1,4.4,12.0,36.8
199,Jaden Springer,PHI,20,1.0,2.3,42.9,0.3,0.9,36.4,0.3,0.5,60.0,0.1,0.3,33.3,0.2,1.0,22.2,0.9,2.3,37.5
200,Jae Crowder,MIL,32,6.8,10.0,67.9,2.1,5.5,39.0,1.2,4.0,30.4,1.3,3.9,32.7,0.9,2.5,34.3,3.6,9.8,36.5
201,Jae'Sean Tate,HOU,27,7.6,12.3,62.4,1.7,3.6,46.0,1.3,3.0,44.1,0.8,1.9,40.0,2.6,6.5,40.4,4.0,11.4,35.1
202,Jake LaRavia,MEM,21,5.6,8.4,66.2,0.8,2.1,37.1,0.6,1.5,39.6,0.4,1.0,41.4,1.2,3.2,38.7,1.9,6.2,30.3
203,Jakob Poeltl,TOR,27,12.0,18.2,65.9,2.5,5.8,44.1,1.9,4.3,45.3,1.5,3.2,47.4,2.7,6.4,42.3,4.3,10.4,41.4
204,Jalen Brunson,NYK,26,13.0,20.4,63.5,2.6,6.2,42.4,2.5,4.9,50.6,1.9,4.0,46.2,4.4,11.3,38.8,5.5,15.3,35.6
205,Jalen Duren,DET,19,10.9,16.4,66.3,2.4,5.5,42.9,1.1,2.7,41.2,1.0,2.4,40.8,2.9,7.0,41.1,3.3,9.9,33.2
206,Jalen Green,HOU,21,14.0,20.8,67.4,2.8,6.1,46.4,1.9,4.4,43.5,1.3,3.2,39.8,3.6,9.4,37.7,7.1,18.4,38.7
207,Jalen Johnson,ATL,21,6.7,10.4,64.3,0.9,2.5,35.2,0.9,2.3,39.7,0.5,1.1,44.8,1.6,4.4,36.5,2.2,6.4,35.0
208,Jalen McDaniels,PHI,25,9.2,14.8,62.3,2.0,4.4,45.2,1.5,3.5,44.5,1.3,3.1,41.5,2.5,6.1,41.1,4.2,11.8,35.4
209,Jalen Smith,IND,23,8.6,13.5,63.4,1.6,3.6,44.2,0.9,2.4,38.3,0.8,2.0,40.8,1.9,5.1,38.2,3.0,8.4,35.3
210,Jalen Suggs,ORL,21,8.9,13.2,67.3,1.7,4.4,38.8,1.5,3.4,44.4,1.1,2.3,45.6,2.9,7.6,37.7,4.1,11.6,35.6
