,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
421,Dominick Barlow,SAS,19,19,17,100,1.2,2.5,47.9,47.9,91.7,1.2,2.3,52.2,8.3,0.0,0.2,0.0
422,Johnny Davis,WAS,21,19,14,100,1.0,2.5,39.6,40.6,75.0,0.9,1.9,50.3,25.0,0.1,0.6,7.9
423,James Johnson,IND,36,14,11,100,1.0,2.5,40.0,44.3,65.7,0.8,1.6,48.2,34.3,0.2,0.9,24.4
424,Taj Gibson,WAS,37,46,40,100,1.3,2.4,53.6,55.4,83.0,1.2,2.0,60.4,17.0,0.1,0.4,22.0
425,Josh Minott,MIN,20,14,11,100,1.3,2.4,52.9,55.9,82.4,1.1,2.0,57.0,17.6,0.1,0.4,32.6
426,Frank Ntilikina,DAL,24,43,34,100,0.9,2.4,35.6,41.8,47.1,0.6,1.1,49.1,52.9,0.3,1.3,23.4
427,Terry Taylor,CHI,23,28,21,100,1.1,2.4,47.8,50.7,73.1,1.0,1.8,57.1,26.9,0.1,0.6,21.9
428,Luke Kornet,BOS,27,60,44,100,1.6,2.4,68.5,69.6,93.0,1.6,2.2,71.2,7.0,0.1,0.2,29.4
429,Kessler Edwards,SAC,22,26,20,100,0.9,2.4,38.7,48.4,40.3,0.5,1.0,47.9,59.7,0.5,1.4,32.4
430,Usman Garuba,HOU,21,66,59,100,1.2,2.4,51.3,59.0,69.2,0.8,1.6,51.8,30.8,0.4,0.7,49.3
431,Meyers Leonard,MIL,31,6,6,100,1.3,2.3,57.1,75.0,28.6,0.5,0.7,74.6,71.4,0.8,1.7,49.7
432,Jabari Walker,POR,20,46,38,100,1.0,2.3,43.0,46.3,72.9,0.8,1.7,50.0,27.1,0.1,0.6,23.8
