,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
425,Precious Achiuwa,TOR,23,2.5,3.5,69.6,0.4,1.2,31.8,0.1,0.5,29.6,0.0,0.1,20.0,0.2,1.0,20.8,0.3,0.9,32.0
426,Quentin Grimes,NYK,22,1.6,2.3,69.9,0.0,0.2,27.3,0.0,0.1,20.0,0.0,0.1,33.3,1.3,2.9,44.3,0.9,2.8,32.5
427,Quenton Jackson,WAS,24,0.6,1.8,35.7,0.3,0.4,66.7,0.2,0.2,100.0,0.0,0.0,0.0,0.1,0.4,33.3,0.1,1.0,12.5
428,R.J. Hampton,DET,22,0.8,1.3,59.3,0.3,0.7,45.2,0.2,0.4,50.0,0.1,0.3,25.0,0.4,0.9,41.0,0.5,1.6,32.4
429,RJ Barrett,NYK,22,3.7,6.5,57.7,1.2,2.9,40.1,0.3,0.9,32.3,0.1,0.4,28.6,0.8,2.6,32.4,0.8,2.8,29.7
430,Raul Neto,CLE,30,0.6,0.8,69.2,0.1,0.3,45.5,0.1,0.1,100.0,0.1,0.1,60.0,0.2,0.3,46.7,0.1,0.5,20.8
431,Reggie Bullock,DAL,32,0.4,0.6,68.1,0.0,0.1,28.6,0.1,0.1,57.1,0.0,0.1,20.0,1.3,3.1,42.9,0.6,2.0,31.0
432,Reggie Jackson,DEN,32,1.1,2.1,51.4,0.6,1.2,49.4,0.3,0.9,40.4,0.3,0.7,37.8,0.7,1.8,37.9,0.9,2.7,32.2
433,Richaun Holmes,SAC,29,0.9,1.3,69.2,0.2,0.4,56.3,0.1,0.3,45.5,0.0,0.0,0.0,0.0,0.1,50.0,0.1,0.1,80.0
434,Ricky Rubio,CLE,32,0.3,1.0,34.4,0.1,0.3,30.0,0.7,1.1,58.3,0.1,0.3,30.0,0.4,1.5,27.7,0.3,0.9,26.7
435,Robert Covington,LAC,32,0.9,1.5,62.7,0.1,0.3,21.4,0.0,0.2,14.3,0.0,0.0,50.0,0.4,0.8,45.9,0.8,2.1,35.7
436,Robert Williams III,BOS,25,3.4,4.0,83.7,0.2,0.6,31.8,0.0,0.1,33.3,0.0,0.1,33.3,0.0,0.0,0.0,0.0,0.0,0.0
437,Robin Lopez,CLE,35,0.7,0.8,82.1,0.5,1.0,51.6,0.0,0.0,100.0,0.0,0.0,100,0.1,0.1,100,0.0,0.1,50.0
438,Rodney McGruder,DET,31,0.5,0.8,64.0,0.1,0.6,11.1,0.1,0.3,33.3,0.0,0.1,0.0,0.7,1.7,40.7,0.6,1.4,43.2
439,Romeo Langford,SAS,23,1.7,2.6,65.4,0.5,1.4,33.9,0.2,0.5,50.0,0.1,0.3,40.0,0.3,0.9,32.4,0.1,0.6,17.4
440,Ron Harper Jr.,TOR,22,0.1,0.3,50.0,0.1,0.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,33.3,0.1,0.4,33.3
441,Royce O'Neale,BKN,29,0.7,1.6,42.9,0.2,0.6,31.0,0.0,0.1,22.2,0.0,0.0,0.0,0.5,1.4,34.5,1.6,3.9,41.5
442,Rudy Gay,UTA,36,0.4,0.7,61.0,0.3,0.7,44.7,0.3,0.7,39.0,0.3,0.5,61.5,0.3,1.4,24.1,0.3,1.1,26.2
443,Rudy Gobert,MIN,30,4.9,7.0,70.7,0.2,0.7,31.3,0.1,0.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,Rui Hachimura,LAL,25,2.0,3.1,66.1,0.2,0.8,27.5,0.6,1.3,48.8,0.7,1.4,53.6,0.4,1.2,36.0,0.4,1.4,31.0
445,Russell Westbrook,LAC,34,3.4,6.1,55.3,0.4,1.1,36.4,0.5,1.1,42.7,0.4,1.2,32.9,0.5,1.5,29.6,0.8,2.5,30.5
446,Ryan Arcidiacono,POR,29,0.1,0.2,33.3,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.4,1.1,38.1
447,Ryan Rollins,GSW,20,0.3,0.9,37.5,0.1,0.2,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.5,20.0,0.2,0.4,50.0
448,Saben Lee,PHX,23,1.1,2.4,46.6,0.1,0.5,25.0,0.0,0.1,50.0,0.1,0.2,40.0,0.1,0.4,30.0,0.2,0.6,38.5
449,Saddiq Bey,ATL,23,2.0,3.4,57.9,0.3,0.9,37.7,0.2,0.5,29.3,0.1,0.4,26.7,1.2,2.8,41.2,0.8,2.6,32.0
450,Sam Hauser,BOS,25,0.4,0.6,81.4,0.0,0.1,0.0,0.0,0.1,60.0,0.0,0.0,0.0,0.7,1.7,42.5,0.9,2.4,40.1
451,Sam Merrill,CLE,26,0.0,0.0,0.0,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,2.0,25.0
452,Sandro Mamukelashvili,SAS,23,1.2,2.1,57.6,0.2,0.4,43.8,0.1,0.3,20.0,0.0,0.0,0.0,0.2,0.8,25.9,0.4,1.5,28.3
453,Santi Aldama,MEM,22,1.5,2.3,65.2,0.4,0.7,51.8,0.1,0.2,28.6,0.0,0.1,14.3,0.6,1.8,37.0,0.6,1.7,34.6
454,Scottie Barnes,TOR,21,3.3,5.3,62.4,1.2,2.7,42.7,0.3,1.1,31.7,0.3,0.9,30.3,0.5,1.7,32.3,0.5,1.6,28.5
455,Scotty Pippen Jr.,LAL,22,0.6,1.2,50.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.2,0.3,50.0
456,Serge Ibaka,MIL,33,0.9,1.2,78.9,0.2,0.6,33.3,0.0,0.3,0.0,0.1,0.2,33.3,0.1,0.2,66.7,0.3,1.0,31.3
457,Seth Curry,BKN,32,0.4,0.7,57.1,0.1,0.2,42.9,0.4,0.7,66.7,0.7,1.5,48.3,0.9,2.3,41.3,0.9,2.1,41.3
458,Shaedon Sharpe,POR,19,1.8,2.8,65.6,0.2,0.4,39.4,0.1,0.3,33.3,0.2,0.6,43.2,0.7,1.9,38.4,0.6,1.8,35.2
