,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
439,Ryan Arcidiacono,POR,29,3.6,5.8,61.3,1.6,3.6,45.6,0.7,1.6,42.9,0.1,0.5,20.0,0.7,1.5,50.0,0.6,1.4,42.9,1.9,4.9,38.1
440,Ryan Rollins,GSW,20,2.9,3.6,81.3,0.4,1.4,29.4,0.4,0.9,50.0,0.0,0.6,0.0,0.3,0.9,33.3,0.2,1.0,20.0,1.4,3.7,37.8
441,Saben Lee,PHX,23,4.7,7.4,63.8,2.6,6.1,41.9,0.9,2.5,34.6,0.5,1.3,39.1,0.5,1.4,39.1,0.9,2.3,39.1,2.2,6.9,31.6
442,Saddiq Bey,ATL,23,12.1,17.4,69.2,4.5,9.3,47.8,2.1,5.3,40.2,1.1,2.9,37.3,0.9,2.2,41.5,2.0,5.2,39.1,4.9,13.6,35.8
443,Sam Hauser,BOS,25,4.7,7.5,62.6,3.3,7.3,45.8,1.7,4.1,41.7,0.5,1.3,36.1,0.4,1.2,32.9,0.8,2.2,34.6,2.8,8.3,33.9
444,Sam Merrill,CLE,26,1.3,1.7,80.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100,0.5,0.5,100,0.7,2.7,25.0
445,Sandro Mamukelashvili,SAS,23,5.5,7.9,69.5,2.4,5.4,44.6,1.3,3.1,43.6,0.9,1.6,53.5,0.5,1.2,43.3,1.2,2.4,49.3,2.7,7.6,35.1
446,Santi Aldama,MEM,22,8.0,12.2,65.2,2.9,7.2,41.1,1.9,4.7,40.9,0.7,1.6,40.7,0.7,1.8,40.8,1.3,3.3,40.7,4.7,13.5,34.9
447,Scottie Barnes,TOR,21,12.3,18.6,66.0,5.4,11.7,46.0,2.7,6.3,43.1,1.6,3.8,41.3,1.2,3.2,36.0,2.7,6.9,38.9,6.1,16.0,38.4
448,Scotty Pippen Jr.,LAL,22,1.4,3.2,43.8,1.2,2.5,46.7,0.7,1.3,50.0,0.3,1.0,33.3,0.0,1.0,0.0,0.3,1.2,28.6,0.7,2.2,30.8
