Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
2023-01-13,7:00p,Atlanta Hawks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
2023-01-13,7:00p,New York Knicks,,Washington Wizards,,,,,Capital One Arena,
2023-01-13,7:30p,Golden State Warriors,,San Antonio Spurs,,,,,AT&T Center,
2023-01-13,8:00p,Oklahoma City Thunder,,Chicago Bulls,,,,,United Center,
2023-01-13,8:00p,Phoenix Suns,,Minnesota Timberwolves,,,,,Target Center,
2023-01-13,9:00p,Orlando Magic,,Utah Jazz,,,,,Vivint Arena,
2023-01-13,10:00p,Denver Nuggets,,Los Angeles Clippers,,,,,Crypto.com Arena,
2023-01-13,10:00p,Houston Rockets,,Sacramento Kings,,,,,Golden 1 Center,
2023-01-14,1:00p,Milwaukee Bucks,,Miami Heat,,,,,FTX Arena,
2023-01-14,7:00p,Boston Celtics,,Charlotte Hornets,,,,,Spectrum Center,
2023-01-14,7:00p,Memphis Grizzlies,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
2023-01-14,7:30p,Atlanta Hawks,,Toronto Raptors,,,,,Scotiabank Arena,
2023-01-14,8:00p,Cleveland Cavaliers,,Minnesota Timberwolves,,,,,Target Center,
2023-01-14,9:00p,Philadelphia 76ers,,Utah Jazz,,,,,Vivint Arena,
2023-01-14,10:00p,Dallas Mavericks,,Portland Trail Blazers,,,,,Moda Center,
2023-01-15,1:00p,New York Knicks,,Detroit Pistons,,,,,Little Caesars Arena,
2023-01-15,3:00p,Houston Rockets,,Los Angeles Clippers,,,,,Crypto.com Arena,
2023-01-15,3:30p,Golden State Warriors,,Chicago Bulls,,,,,United Center,
2023-01-15,6:00p,Oklahoma City Thunder,,Brooklyn Nets,,,,,Barclays Center,
2023-01-15,7:00p,Sacramento Kings,,San Antonio Spurs,,,,,AT&T Center,
2023-01-15,8:00p,Orlando Magic,,Denver Nuggets,,,,,Ball Arena,
2023-01-15,9:00p,Dallas Mavericks,,Portland Trail Blazers,,,,,Moda Center,
2023-01-15,9:30p,Philadelphia 76ers,,Los Angeles Lakers,,,,,Crypto.com Arena,
